sequence_id,pair_id,split,condition,association_min_mask_iou,association_max_centroid_distance_px,maximum_frame_gap,is_frozen_setting,raw_weed_detection_count,raw_weed_track_count,raw_weed_singleton_track_count,raw_weed_maximum_observations,locked_weed_detection_count,locked_weed_track_count,locked_weed_singleton_track_count,locked_weed_qualifying_track_count,track_tp,track_fp,track_fn,track_precision,track_recall,track_f1,track_f1_state
degraded:fixture_test_0000,fixture_test_0000,test,degraded,0.1,480.0,2,False,20,8,1,5,5,2,1,1,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
degraded:fixture_test_0000,fixture_test_0000,test,degraded,0.1,480.0,3,False,20,8,1,5,5,2,1,1,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
degraded:fixture_test_0000,fixture_test_0000,test,degraded,0.1,640.0,1,False,20,8,1,5,5,2,1,1,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
degraded:fixture_test_0000,fixture_test_0000,test,degraded,0.1,640.0,2,False,20,8,1,5,5,2,1,1,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
degraded:fixture_test_0000,fixture_test_0000,test,degraded,0.1,640.0,3,False,20,8,1,5,5,2,1,1,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
degraded:fixture_test_0000,fixture_test_0000,test,degraded,0.25,80.0,1,False,20,20,20,1,5,5,5,0,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
degraded:fixture_test_0000,fixture_test_0000,test,degraded,0.25,80.0,2,False,20,20,20,1,5,5,5,0,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
degraded:fixture_test_0000,fixture_test_0000,test,degraded,0.25,80.0,3,False,20,20,20,1,5,5,5,0,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
degraded:fixture_test_0000,fixture_test_0000,test,degraded,0.25,160.0,1,False,20,20,20,1,5,5,5,0,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
degraded:fixture_test_0000,fixture_test_0000,test,degraded,0.25,160.0,2,False,20,20,20,1,5,5,5,0,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
degraded:fixture_test_0000,fixture_test_0000,test,degraded,0.25,160.0,3,False,20,20,20,1,5,5,5,0,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
degraded:fixture_test_0000,fixture_test_0000,test,degraded,0.25,240.0,1,False,20,19,18,2,5,5,5,0,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
degraded:fixture_test_0000,fixture_test_0000,test,degraded,0.25,240.0,2,False,20,19,18,2,5,5,5,0,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
degraded:fixture_test_0000,fixture_test_0000,test,degraded,0.25,240.0,3,False,20,19,18,2,5,5,5,0,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
degraded:fixture_test_0000,fixture_test_0000,test,degraded,0.25,320.0,1,False,20,19,18,2,5,5,5,0,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
degraded:fixture_test_0000,fixture_test_0000,test,degraded,0.25,320.0,2,False,20,19,18,2,5,5,5,0,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
degraded:fixture_test_0000,fixture_test_0000,test,degraded,0.25,320.0,3,False,20,19,18,2,5,5,5,0,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
degraded:fixture_test_0000,fixture_test_0000,test,degraded,0.25,480.0,1,False,20,8,1,5,5,2,1,1,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
degraded:fixture_test_0000,fixture_test_0000,test,degraded,0.25,480.0,2,False,20,8,1,5,5,2,1,1,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
degraded:fixture_test_0000,fixture_test_0000,test,degraded,0.25,480.0,3,False,20,8,1,5,5,2,1,1,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
degraded:fixture_test_0000,fixture_test_0000,test,degraded,0.25,640.0,1,False,20,8,1,5,5,2,1,1,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
degraded:fixture_test_0000,fixture_test_0000,test,degraded,0.25,640.0,2,False,20,8,1,5,5,2,1,1,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
degraded:fixture_test_0000,fixture_test_0000,test,degraded,0.25,640.0,3,False,20,8,1,5,5,2,1,1,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.05,80.0,1,False,23,23,23,1,4,4,4,0,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.05,80.0,2,False,23,23,23,1,4,4,4,0,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.05,80.0,3,False,23,23,23,1,4,4,4,0,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.05,160.0,1,False,23,23,23,1,4,4,4,0,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.05,160.0,2,False,23,23,23,1,4,4,4,0,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.05,160.0,3,False,23,23,23,1,4,4,4,0,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.05,240.0,1,False,23,22,21,2,4,4,4,0,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.05,240.0,2,False,23,22,21,2,4,4,4,0,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.05,240.0,3,False,23,22,21,2,4,4,4,0,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.05,320.0,1,False,23,22,21,2,4,4,4,0,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.05,320.0,2,False,23,22,21,2,4,4,4,0,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.05,320.0,3,False,23,22,21,2,4,4,4,0,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.05,480.0,1,False,23,9,2,5,4,2,1,1,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.05,480.0,2,False,23,9,2,5,4,2,1,1,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.05,480.0,3,False,23,9,2,5,4,2,1,1,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.05,640.0,1,False,23,9,2,5,4,2,1,1,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.05,640.0,2,False,23,9,2,5,4,2,1,1,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.05,640.0,3,False,23,9,2,5,4,2,1,1,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.1,80.0,1,False,23,23,23,1,4,4,4,0,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.1,80.0,2,False,23,23,23,1,4,4,4,0,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.1,80.0,3,False,23,23,23,1,4,4,4,0,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.1,160.0,1,False,23,23,23,1,4,4,4,0,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.1,160.0,2,True,23,23,23,1,4,4,4,0,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.1,160.0,3,False,23,23,23,1,4,4,4,0,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.1,240.0,1,False,23,22,21,2,4,4,4,0,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.1,240.0,2,False,23,22,21,2,4,4,4,0,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.1,240.0,3,False,23,22,21,2,4,4,4,0,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.1,320.0,1,False,23,22,21,2,4,4,4,0,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.1,320.0,2,False,23,22,21,2,4,4,4,0,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.1,320.0,3,False,23,22,21,2,4,4,4,0,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.1,480.0,1,False,23,9,2,5,4,2,1,1,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.1,480.0,2,False,23,9,2,5,4,2,1,1,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.1,480.0,3,False,23,9,2,5,4,2,1,1,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.1,640.0,1,False,23,9,2,5,4,2,1,1,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.1,640.0,2,False,23,9,2,5,4,2,1,1,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.1,640.0,3,False,23,9,2,5,4,2,1,1,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.25,80.0,1,False,23,23,23,1,4,4,4,0,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.25,80.0,2,False,23,23,23,1,4,4,4,0,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.25,80.0,3,False,23,23,23,1,4,4,4,0,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.25,160.0,1,False,23,23,23,1,4,4,4,0,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.25,160.0,2,False,23,23,23,1,4,4,4,0,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.25,160.0,3,False,23,23,23,1,4,4,4,0,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.25,240.0,1,False,23,22,21,2,4,4,4,0,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.25,240.0,2,False,23,22,21,2,4,4,4,0,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.25,240.0,3,False,23,22,21,2,4,4,4,0,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.25,320.0,1,False,23,22,21,2,4,4,4,0,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.25,320.0,2,False,23,22,21,2,4,4,4,0,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.25,320.0,3,False,23,22,21,2,4,4,4,0,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.25,480.0,1,False,23,9,2,5,4,2,1,1,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.25,480.0,2,False,23,9,2,5,4,2,1,1,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.25,480.0,3,False,23,9,2,5,4,2,1,1,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.25,640.0,1,False,23,9,2,5,4,2,1,1,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.25,640.0,2,False,23,9,2,5,4,2,1,1,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
ideal:fixture_test_0000,fixture_test_0000,test,ideal,0.25,640.0,3,False,23,9,2,5,4,2,1,1,0,0,2,,0.0,,undefined_missing_precision_or_recall_denominator
